temp,vapour pressure,PET(Pote0tial Evapo-Tra0spiratio0),rainfall,rain
23.7,44.17,5.37,35.91,1
22.28,34.31,5.39,35.7,1
22.17,24.31,5.86,0,0
25.47,21.78,6.72,2.21,0
27.65,23.02,7.57,0.01,0
27.68,33.48,7.67,84.86,1
27.39,44.84,7.29,190.84,1
25.4,69.6,5.91,32.82,1
23.89,80,5.28,210.73,1
23.9,72.97,5.38,170.87,1
24.11,63.01,5.69,269.87,1
24.69,56.99,5.47,16.34,1
23.27,43.88,5.36,30.73,1
21.98,34.31,5.36,20.97,1
22.21,24.02,5.89,0,0
24.18,21.78,6.69,0,0
26,23.02,7.43,6.39,0
28.18,33.48,7.64,13.23,1
27.45,44.78,7.33,91.95,1
24.64,69.27,5.89,107.97,1
23.69,80,5.24,187.27,1
23.78,72.97,5.36,45.23,1
24.44,63.01,5.71,171.65,1
24.79,56.56,5.48,216.09,1
23.23,43.88,5.35,8.09,0
22.24,34.31,5.37,2.78,0
22.44,24.31,5.9,0.73,0
24.67,21.78,6.69,0.07,0
27.12,23.02,7.5,4.31,0
28.8,33.48,7.73,35.09,1
26.09,44.65,7.28,192.02,1
24.39,69.27,5.84,57.48,1
23.81,80,5.26,38,1
23.68,72.97,5.34,83.69,1
25.02,63.01,5.75,66.69,1
24.31,56.49,5.49,171.39,1
23.3,44.27,5.34,32.68,1
22.12,34.31,5.34,5.7,0
23.48,24.31,5.94,0.06,0
24.87,21.78,6.72,0,0
27.72,23.02,7.55,0.01,0
28,33.48,7.68,54.35,1
27.72,44.78,7.35,203.26,1
24.58,69.27,5.9,190.55,1
23.41,80,5.24,70.84,1
23.47,72.97,5.32,90.58,1
24.96,63.01,5.77,94.72,1
24.32,56.37,5.5,271.79,1
22.64,43.88,5.32,22.74,1
21.78,34.31,5.37,0.13,0
21.41,24.31,5.82,0.01,0
24.77,21.78,6.69,0,0
26.69,23.02,7.5,0,0
28.27,33.48,7.68,11.43,1
26.92,44.78,7.3,107.12,1
24.76,69.27,5.86,162.64,1
24.2,80,5.28,148.61,1
23.95,72.97,5.37,84.85,1
24.62,63.01,5.74,112.17,1
24.45,56.37,5.48,156.36,1
23.53,43.88,5.37,49.7,1
21.31,34.31,5.34,0.28,0
22.27,24.31,5.87,0,0
24.08,21.78,6.67,0,0
26.72,23.02,7.48,25.33,1
28.37,33.48,7.65,43.58,1
27.83,44.78,7.34,113.03,1
25.27,69.27,5.9,127.68,1
24.17,80,5.28,88.69,1
24.29,72.97,5.4,95.59,1
24.06,63.01,5.71,156.85,1
24.2,56.37,5.45,181.58,1
23.14,43.88,5.35,25.04,1
21.49,34.31,5.33,50.1,1
22.48,24.31,5.88,0.59,0
24.63,21.78,6.69,0.69,0
27.09,23.02,7.51,4.97,0
27.81,33.48,7.65,22.13,1
27.69,44.78,7.33,84.81,1
24.93,69.27,5.91,46.8,1
23.58,80,5.25,100.82,1
24.45,72.97,5.38,53.43,1
24.78,63.01,5.78,54.25,1
24.2,56.37,5.5,203.58,1
22.38,43.88,5.32,30.75,1
21.12,34.31,5.3,4.48,0
22.31,24.31,5.86,13.2,1
25.04,21.78,6.72,0,0
26.65,23.02,7.5,15.69,1
28.29,33.48,7.69,36.49,1
26.29,44.78,7.24,168.03,1
25.93,69.27,5.91,91.37,1
24.07,80,5.28,98.92,1
24.52,72.97,5.4,162.94,1
24.67,63.01,5.76,162.62,1
24.5,56.37,5.45,185.89,1
24.47,43.88,5.39,18.61,1
22.21,34.31,5.38,0.13,0
23.04,17.33,6.06,0,0
24.47,10.98,6.89,0,0
27.23,21.25,7.56,0.03,0
27.78,32.37,7.66,102.95,1
28.26,42.95,7.39,121.92,1
25.01,75.34,5.8,204.33,1
24.45,84.12,5.22,52.69,1
23.99,78.67,5.29,209.42,1
24.37,75.73,5.5,176.55,1
24,53.83,5.49,179,1
23.73,51.79,5.23,15.52,1
21.75,47.82,5.1,12.57,1
22.54,29.47,5.79,3.85,0
24.64,15.56,6.83,0,0
26.63,27.22,7.45,22.47,1
26.88,33.38,7.58,77.31,1
27.6,44.12,7.28,81.28,1
26.34,65.41,6.02,77.17,1
24.68,86.91,5.2,33.45,1
24.35,76.02,5.34,120.1,1
25.14,62.62,5.78,161.1,1
24.9,44.1,5.71,302.89,1
24.37,52.46,5.22,153.78,1
23.05,45.84,5.2,25.03,1
23.5,22.32,5.98,0,0
25.7,17.5,6.82,0.01,0
27.96,19.93,7.62,0.01,0
29.04,28.48,7.82,96.04,1
28.06,49.27,7.27,118.63,1
26.17,73.94,5.9,61.74,1
24.44,81.05,5.29,216.79,1
24.62,75.64,5.37,262.07,1
24.53,73.41,5.56,148.7,1
24.5,57.76,5.43,216.56,1
23.84,42.34,5.39,49.52,1
22.32,43.13,5.22,28.1,1
22.65,20.88,5.97,0,0
24.57,18.01,6.74,8.51,0
27.53,25.95,7.49,0.02,0
28.03,31.51,7.75,76.98,1
25.86,57.74,7,224.89,1
24.61,66.09,5.88,73.72,1
24.15,84.39,5.17,103.1,1
24.42,71.23,5.42,69.17,1
25.11,59.76,5.84,102.12,1
24.66,55.88,5.5,194.64,1
23.51,34.65,5.53,55.79,1
22.01,39.58,5.24,3.12,0
23.18,21.11,5.98,0,0
25.03,35.93,6.47,9.83,1
26.6,19.11,7.56,0,0
28.23,31.21,7.72,81.99,1
26.77,44.36,7.32,78.12,1
24.26,83.3,5.57,93.18,1
23.89,79.09,5.28,102.94,1
23.95,73.17,5.37,200.52,1
24.84,62.23,5.78,138.41,1
24.39,57.89,5.43,278.02,1
23.73,37.48,5.51,9.85,1
21.81,33.78,5.36,8.56,0
23.18,34.74,5.69,0.59,0
26.11,18.78,6.83,0.01,0
27.4,26.58,7.5,5.12,0
28.28,37.32,7.61,103.22,1
27.46,43.79,7.35,65.99,1
25.02,82.93,5.62,37.55,1
24.58,83,5.25,93.95,1
24.02,76.46,5.3,67.62,1
25.27,67.02,5.71,152.6,1
24.2,58.57,5.43,160.36,1
23.8,43.2,5.38,28.67,1
22.14,42.93,5.19,4.92,0
23.25,32.71,5.78,0.66,0
24.27,23.59,6.66,0.14,0
27.43,25,7.47,0.92,0
28.67,27.97,7.8,11.81,1
27.53,54.56,7.16,209.74,1
25.15,78.28,5.72,165.83,1
24.78,73.09,5.43,33.68,1
24.52,71.7,5.42,44.37,1
25.74,53.88,5.96,58.13,1
25.1,57.62,5.5,178.97,1
23.64,38.52,5.47,25.99,1
22.68,34.52,5.37,2.77,0
